                                                                                                                                                                                                             ?
©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤jowu@jowu-pset:/drives/e/workspace/script/python$ cat snap.log  | grep 871 | grep -E '\[end|begin\]'
I/start   (  871): [TC:74582][TT:9755] [AppLauncher] [AppContext::onUIAwake][begin] !!![net.suntec.app.TDSystemUI.application]
I/start   (  871): [TC:74584][TT:9756] [AppLauncher] [AppContext::onUIAwake]][PrivateAPP::SyncThemeAndLanguage][begin] !!![net.suntec.app.TDSystem
I/start   (  871): [TC:74585][TT:9758] [UIFrameworkBase] [NGStatusManager::syncThemeAndLanguage][begin]
I/start   (  871): [TC:74594][TT:9764] [UIFrameworkBase] [NGStatusManager::syncThemeAndLanguage][language sync][begin]
I/start   (  871): [TC:74594][TT:9764] [UIFrameworkBase] [NGResourceManager::setLanguage][begin] language =
I/start   (  871): [TC:74594][TT:9765] [UIFrameworkBase] [NGResourceManager::loadResAfterSnapshot][begin]
I/start   (  871): [TC:74596][TT:9766] [UIFrameworkBase] [NGResourceManager::strReaderIdx][begin]
I/start   (  871): [TC:74597][TT:9767] [UIFrameworkBase] [NGResourceManager::strReaderIdx][end]
I/start   (  871): [TC:74598][TT:9768] [UIFrameworkBase] [NGResourceManager::strReaderIdx][begin]
I/start   (  871): [TC:75096][TT:9893] [UIFrameworkBase] [NGResourceManager::strReaderIdx][end]
I/start   (  871): [TC:75096][TT:9893] [UIFrameworkBase] [NGResourceManager::updateStrPriotyLayers][begin]
I/start   (  871): [TC:75096][TT:9894] [UIFrameworkBase] [NGResourceManager::strReaderIdx][begin]
I/start   (  871): [TC:75096][TT:9894] [UIFrameworkBase] [NGResourceManager::strReaderIdx][end]
I/start   (  871): [TC:75096][TT:9894] [UIFrameworkBase] [NGResourceManager::strReaderIdx][begin]
I/start   (  871): [TC:75097][TT:9894] [UIFrameworkBase] [NGResourceManager::strReaderIdx][end]
I/start   (  871): [TC:75097][TT:9894] [UIFrameworkBase] [NGResourceManager::updateStrPriotyLayers][end]
I/start   (  871): [TC:75119][TT:9897] [UIFrameworkBase] [NGResourceManager::loadResAfterSnapshot][end]
I/start   (  871): [TC:75119][TT:9897] [UIFrameworkBase] [NGStatusManager::syncThemeAndLanguage][language sync][end]
I/start   (  871): [TC:75119][TT:9897] [UIFrameworkBase] [NGStatusManager::syncThemeAndLanguage][theme sync][begin]
I/start   (  871): [TC:75119][TT:9898] [UIFrameworkBase] [NGResourceManager::setTheme][begin] theme = _Day
I/start   (  871): [TC:75121][TT:9899] [UIFrameworkBase] [NGStatusManager::syncThemeAndLanguage][theme sync][end]
I/start   (  871): [TC:75121][TT:9899] [UIFrameworkBase] [NGStatusManager::onStrValueChanged][begin]
I/start   (  871): [TC:75272][TT:9904] [UIFrameworkBase] [NGStatusManager::onStrValueChanged][end]
I/start   (  871): [TC:75272][TT:9904] [UIFrameworkBase] [NGStatusManager::syncThemeAndLanguage][end]
I/start   (  871): [TC:75273][TT:9904] [AppLauncher] [AppContext::onUIAwake][PrivateAPP::SyncThemeAndLanguage][end] !!![net.suntec.app.TDSystemUI.

I/start   (  871): [TC:75274][TT:9906] [SystemUI] [NativeApp_SystemUI::onAwake] [begin]
I/start   (  871): [TC:75275][TT:9906] [SystemUI] [SystemUICommon::initFrameCallback] [begin]
I/start   (  871): [TC:75297][TT:9918] [SystemUI] [SystemUICommon::initFrameCallback] [end]
I/start   (  871): [TC:75297][TT:9918] [SystemUI] [SystemUICommon::onAwake] [begin]
I/start   (  871): [TC:75306][TT:9924] [FCBase] [fnctl.pmcs onAwake] [begin]
I/start   (  871): [TC:75306][TT:9924] [FCBase] [fnctl.pmcs onAwake] [end]
I/start   (  871): [TC:75307][TT:9925] [FCBase] [fnctl.system.info onAwake] [begin]
I/start   (  871): [TC:75307][TT:9925] [SystemInfoFunctionControl] [SystemInfo onAwake][begin]
I/start   (  871): [TC:75405][TT:9930] [SystemInfoFunctionControl] [SystemInfo onAwake][end]
I/start   (  871): [TC:75405][TT:9930] [FCBase] [fnctl.system.info onAwake] [end]
I/start   (  871): [TC:75409][TT:9934] [FCBase] [fnctl.setting onAwake] [begin]
I/start   (  871): [TC:75410][TT:9935] [FCBase] [fnctl.setting onAwake] [end]
I/start   (  871): [TC:75412][TT:9936] [FCBase] [fnctl.vehicle.aircon onAwake] [begin]
I/start   (  871): [TC:75412][TT:9936] [FCBase] [fnctl.vehicle.aircon onAwake] [end]
I/start   (  871): [TC:75415][TT:9940] [FCBase] [fnctl.media.disc onAwake] [begin]
I/start   (  871): [TC:75416][TT:9941] [FCBase] [fnctl.media.disc onAwake] [end]
I/start   (  871): [TC:75430][TT:9943] [FCBase] [fnctl.media.rse onAwake] [begin]
I/start   (  871): [TC:75435][TT:9944] [FCBase] [fnctl.media.rse onAwake] [end]
I/start   (  871): [TC:75439][TT:9947] [FCBase] [fnctl.media.btaudio onAwake] [begin]
I/start   (  871): [TC:75439][TT:9948] [FCBase] [fnctl.media.btaudio onAwake] [end]
I/start   (  871): [TC:75456][TT:9952] [FCBase] [fnctl.media.dab onAwake] [begin]
I/start   (  871): [TC:75458][TT:9953] [FCBase] [fnctl.media.dab onAwake] [end]
I/start   (  871): [TC:75486][TT:9958] [FCBase] [fnctl.telema.remote onAwake] [begin]
I/start   (  871): [TC:75486][TT:9959] [FCBase] [fnctl.telema.remote onAwake] [end]
I/start   (  871): [TC:75520][TT:9962] [FCBase] [fnctl.media.tsl onAwake] [begin]
I/start   (  871): [TC:75524][TT:9965] [FCBase] [fnctl.media.tsl onAwake] [end]
I/start   (  871): [TC:75544][TT:9969] [FCBase] [fnctl.navi.traffic onAwake] [begin]
I/start   (  871): [TC:75545][TT:9969] [FCBase] [fnctl.navi.traffic onAwake] [end]
I/start   (  871): [TC:75552][TT:9975] [FCBase] [fnctl.picturechange onAwake] [begin]
I/start   (  871): [TC:75553][TT:9975] [PictureChangeFC] [PictureChange onAwake][begin]
I/start   (  871): [TC:75691][TT:9987] [PictureChangeFC] [PictureChange onAwake][end]
I/start   (  871): [TC:75691][TT:9987] [FCBase] [fnctl.picturechange onAwake] [end]
I/start   (  871): [TC:75701][TT:9991] [FCBase] [fnctl.media.usb onAwake] [begin]
I/start   (  871): [TC:75705][TT:9993] [FCBase] [fnctl.media.usb onAwake] [end]
I/start   (  871): [TC:75710][TT:9998] [FCBase] [fnctl.media.dtv onAwake] [begin]
